#StageNum, TotalCellCount, StemCount, DiffCount, MutantCount
239 9739 4252 5487 0 
240 9734 4247 5486 0 
241 9735 4248 5487 0 
242 9735 4249 5486 0 
243 9736 4248 5487 0 
244 9733 4245 5487 0 
245 9734 4247 5487 0 
246 9735 4248 5487 0 
247 9735 4248 5486 0 
248 9736 4249 5487 0 
249 9735 4248 5486 0 
250 9735 4248 5486 0 
251 9735 4248 5486 0 
252 9734 4248 5486 0 
253 9736 4249 5486 0 
254 9736 4246 5489 0 
255 9737 4249 5487 0 
256 9736 4249 5487 0 
257 9735 4249 5486 0 
258 9735 4249 5485 0 
259 9736 4249 5487 0 
260 9733 4247 5486 0 
261 9733 4248 5485 0 
262 9734 4248 5485 0 
263 9735 4248 5487 0 
264 9735 4248 5487 0 
265 9737 4247 5489 0 
266 9737 4247 5490 0 
267 9735 4245 5490 0 
268 9738 4244 5494 0 
269 9736 4242 5493 0 
270 9737 4242 5494 0 
271 9735 4241 5493 0 
272 9734 4240 5494 0 
273 9734 4241 5493 0 
274 9735 4239 5496 0 
275 9735 4240 5495 0 
276 9736 4241 5495 0 
277 9736 4240 5495 0 
278 9734 4240 5493 0 
279 9735 4241 5494 0 
280 9733 4240 5492 0 
281 9734 4239 5494 0 
282 9732 4238 5494 0 
283 9734 4237 5496 0 
284 9733 4237 5496 0 
285 9734 4234 5499 0 
286 9733 4234 5498 0 
287 9732 4235 5497 0 
288 9733 4233 5500 0 
289 9734 4233 5501 0 
290 9734 4232 5502 0 
291 9735 4232 5503 0 
292 9735 4231 5503 0 
293 9734 4230 5504 0 
294 9734 4230 5504 0 
295 9734 4231 5503 0 
296 9733 4229 5504 0 
297 9734 4227 5506 0 
298 9734 4227 5507 0 
299 9733 4226 5506 0 
300 9733 4228 5505 0 
301 9733 4230 5503 0 
302 9733 4229 5504 0 
303 9733 4226 5506 0 
304 9733 4225 5508 0 
305 9733 4224 5508 0 
306 9735 4226 5508 0 
307 9735 4226 5509 0 
308 9734 4225 5508 0 
309 9734 4225 5508 0 
310 9734 4226 5507 0 
311 9734 4224 5509 0 
312 9734 4224 5510 0 
313 9735 4226 5508 0 
314 9733 4226 5507 0 
315 9733 4225 5507 0 
316 9734 4224 5509 0 
317 9735 4225 5510 0 
318 9737 4226 5511 0 
319 9737 4224 5512 0 
320 9735 4225 5509 0 
321 9734 4226 5508 0 
322 9734 4224 5510 0 
323 9733 4223 5509 0 
324 9734 4223 5511 0 
325 9734 4222 5512 0 
326 9734 4222 5511 0 
327 9734 4223 5510 0 
328 9733 4222 5511 0 
329 9733 4219 5514 0 
330 9732 4218 5514 0 
331 9733 4217 5515 0 
332 9733 4218 5514 0 
333 9732 4216 5516 0 
334 9732 4215 5517 0 
335 9732 4216 5516 0 
336 9733 4218 5514 0 
337 9735 4219 5515 0 
338 9733 4218 5514 0 
339 9734 4220 5514 0 
